Name,Link,Desc,vidtitle
Kenneth Bartley,https://www.youtube.com/watch?v=GQvvnVElL5M,Post crime intervierw,KennyBartleypromisestoturnnewleafafterprison
Alvaro Castillo,https://www.youtube.com/watch?v=5k4o9KB2z7U,Court hearing,AlvaroCastillothanksthecourt8-21-09
Nikolas Cruz,https://www.youtube.com/watch?v=lVMcVs0Ty1E,Physciatrist interview,PsychiatristProbesParklandSchoolShootersMindDuringJailhouseInterview
James Holmes,https://www.youtube.com/watch?v=b73j6QnbJuc,Post crime intervierw,WhatJamesHolmesthoughtandfeltduringthemassacre
Andy Williams,https://www.youtube.com/watch?v=ZIS507zY95Q,Post crime intervierw,SchoolShooterMyGrandPlanWasSuicidebyCop
Evan Ramsey,https://www.youtube.com/watch?v=AIQt9Jdp94Q,Post crime intervierw,WhatsetoffEvanRamseyAlaska�sonlyschoolshootertalksaboutwhathappened20yearsago
Jon Romano,https://www.youtube.com/watch?v=4OByLQB2Evs,Post crime intervierw,DIGITALEXTRAConvicted2004EastGreenbushschoolshooterJonRomano
