title,Speaker
AlvaroCastillothanksthecourt8-21-09,SPEAKER_00
DIGITALEXTRAConvicted2004EastGreenbushschoolshooterJonRomano,SPEAKER_00
ForestHighSchoolshooterMyfirstmemoryisviolenceandconflict,SPEAKER_00
KennyBartleypromisestoturnnewleafafterprison,SPEAKER_00
LukeWoodhamsConfessionVideo,SPEAKER_00
PsychiatristProbesParklandSchoolShootersMindDuringJailhouseInterview,SPEAKER_00
SchoolShooterMyGrandPlanWasSuicidebyCop,SPEAKER_01
WhatJamesHolmesthoughtandfeltduringthemassacre,SPEAKER_01
WhatsetoffEvanRamseyAlaska’sonlyschoolshootertalksaboutwhathappened20yearsago,SPEAKER_00
